id,answer_id,comment,date_created,reason,session
1386,23,sin comentario,2022-02-17 17:56:49.420,sin razón,1758455185
1387,46,sin comentario,2022-02-17 17:56:59.559,sin razón,1758455185
1388,32,sin comentario,2022-02-17 17:57:04.039,sin razón,1758455185
1389,20,sin comentario,2022-02-17 17:57:07.624,sin razón,1758455185
1390,56,sin comentario,2022-02-17 17:57:13.499,sin razón,1758455185
1391,82,sin comentario,2022-02-17 17:57:19.489,sin razón,1758455185
1392,48,sin comentario,2022-02-17 17:57:35.071,sin razón,1758455185
1393,58,sin comentario,2022-02-17 17:57:46.179,sin razón,1758455185
1394,25,sin comentario,2022-02-17 18:01:12.969,sin razón,1759921215
1395,47,sin comentario,2022-02-17 18:01:17.154,sin razón,1759909306
1396,57,sin comentario,2022-02-17 18:01:34.213,sin razón,1759909306
1397,9,sin comentario,2022-02-17 18:01:55.148,sin razón,1759921215
1398,112,sin comentario,2022-02-17 18:01:58.817,sin razón,1759909306
1399,16,sin comentario,2022-02-17 18:02:05.966,sin razón,1759921215
1400,39,sin comentario,2022-02-17 18:02:12.967,sin razón,1759909306
1401,85,sin comentario,2022-02-17 18:02:17.315,sin razón,1759921215
1402,104,sin comentario,2022-02-17 18:02:21.813,sin razón,1759909306
1403,92,sin comentario,2022-02-17 18:02:24.249,sin razón,1759921215
1404,98,sin comentario,2022-02-17 18:02:35.482,sin razón,1759909306
1405,38,sin comentario,2022-02-17 18:02:39.449,sin razón,1759921215
1406,78,sin comentario,2022-02-17 18:02:46.795,sin razón,1759909306
1407,20,sin comentario,2022-02-17 18:02:48.099,sin razón,1759921215
1408,20,sin comentario,2022-02-17 18:02:52.617,sin razón,1759909306
1409,53,sin comentario,2022-02-17 18:02:55.277,sin razón,1759921215
1410,8,sin comentario,2022-02-17 18:02:57.909,sin razón,1759923873
1411,91,sin comentario,2022-02-17 18:03:01.514,sin razón,1759909306
1412,77,sin comentario,2022-02-17 18:03:01.763,sin razón,1759921215
1413,110,sin comentario,2022-02-17 18:03:06.986,sin razón,1759909306
1414,31,sin comentario,2022-02-17 18:03:11.157,sin razón,1759921215
1415,5,sin comentario,2022-02-17 18:03:16.090,sin razón,1759909306
1416,70,sin comentario,2022-02-17 18:03:18.937,sin razón,1759921215
1417,23,sin comentario,2022-02-17 18:03:20.318,sin razón,1759909306
1418,75,sin comentario,2022-02-17 18:03:30.153,sin razón,1759909306
1419,40,sin comentario,2022-02-17 18:03:34.585,sin razón,1759923873
